genus,species,mean_length,mean_width
Acanthogilia,gloriosa,3.1955,0.39825
Aliciella,caespitosa,1.7336666666666667,0.19666666666666666
Aliciella,formosa,2.116888888888889,0.2972222222222222
Aliciella,haydenii,1.581,0.20946666666666666
Aliciella,heterostyla,1.1081666666666667,0.14466666666666667
Aliciella,hutchinsifolia,0.8175,0.15833333333333333
Aliciella,latifolia,0.556,0.09633333333333333
Aliciella,leptomeria,0.518,0.09633333333333334
Aliciella,lottiae,0.636,0.12833333333333333
Aliciella,mcvickerae,0.6646666666666666,0.14133333333333334
Aliciella,micromeria,0.213,0.042666666666666665
Aliciella,monoensis,0.5240833333333333,0.11625
Aliciella,nyensis,1.3569166666666668,0.2165
Aliciella,pentstemonoides,0.685,0.145
Aliciella,pinnatfida,1.1623333333333334,0.215
Aliciella,pinnatifida,0.6094999999999999,0.1625
Aliciella,ripleyi,0.91,0.2856666666666667
Aliciella,sedifolia,0.6462727272727272,0.15581818181818183
Aliciella,stenothyrsa,0.9147777777777778,0.21466666666666667
Aliciella,subacaulis,0.5198333333333334,0.12516666666666668
Aliciella,subnuda,1.5465,0.2278888888888889
Aliciella,tenuis,0.8943333333333333,0.13866666666666666
Aliciella,triodon,0.42775,0.06975
Allophyllum,divaricatum,0.6503333333333333,0.13866666666666666
Allophyllum,gilioides,0.6114333333333334,0.12063333333333333
Allophyllum,giloides,0.38866666666666666,0.06933333333333333
Allophyllum,glutinosum,0.6849999999999999,0.1145
Allophyllum,integrifolium,0.4562222222222222,0.13066666666666668
Allophyllum,violaceum,0.43244444444444446,0.13666666666666666
Bonplandia,geminiflora,1.5981666666666667,0.23383333333333334
Bryantiella,palmeri,0.8876666666666667,0.09566666666666666
Cantua,buxifolia,6.639,0.9738888888888889
Cantua,candelilla,5.6866666666666665,0.8641666666666666
Cantua,cuzcoensis,5.439,0.8089999999999999
Cantua,dendritica,0.8446666666666667,0.091
Cantua,flexuosa,1.8013333333333335,0.38422222222222224
Cantua,pyrifolia,2.71,0.7316666666666667
Cantua,quercifolia,3.2952500000000002,0.4931818181818182
Cantua,volcanica,2.343,0.3983333333333333
Cobaea,aequatoriensis,2.209,1.99
Cobaea,aschersoniana,5.936,1.356
Cobaea,biaurita,6.143,4.6686250000000005
Cobaea,campanulata,3.677,1.625
Cobaea,gracilis,3.693857142857143,0.9471428571428571
Cobaea,lutea,4.718916666666667,2.306909090909091
Cobaea,minor,4.349,2.0433333333333334
Cobaea,pachysepala,5.2026666666666666,3.119666666666667
Cobaea,paneroi,5.423,3.315
Cobaea,penduliflora,5.261,0.6054999999999999
Cobaea,pringlei,5.903,3.688
Cobaea,rotundiflora,5.6585,2.3215000000000003
Cobaea,scandens,3.9806666666666666,3.5309999999999997
Cobaea,stipularis,5.3919999999999995,3.1585
Cobaea,trianae,6.06325,3.49425
Cobaea,triflora,3.98,2.977
Collomia,biflora,0.9627777777777777,0.22822222222222222
Collomia,debilis,0.8376,0.3032
Collomia,diversifolia,0.618,0.133
Collomia,grandiflora,1.51516,0.2934
Collomia,heterophylla,0.8759210526315789,0.12707894736842104
Collomia,linearis,0.552923076923077,0.10974358974358975
Collomia,mazama,1.3083333333333333,0.3338333333333333
Collomia,rawsoniana,2.670888888888889,0.4868888888888889
Collomia,tenella,0.41125,0.06858333333333333
Collomia,tinctoria,0.5812222222222222,0.07977777777777778
Collomia,tracyi,1.01,0.0765
Dayia,glutinosa,0.6173333333333333,0.09866666666666667
Dayia,grantii,1.375,0.401
Dayia,havardii,1.013625,0.193875
Dayia,scabra,1.901,0.5418333333333333
Dayia,sonorae,0.443,0.10822222222222222
Eriastrum,abramsii,0.4847142857142857,0.127
Eriastrum,brandegeeae,0.8932,0.1826
Eriastrum,densifolium,1.251,0.20672727272727273
Eriastrum,diffusum,0.7137777777777777,0.19088888888888889
Eriastrum,eremicum,0.9056190476190477,0.26780952380952383
Eriastrum,filifolium,0.3822,0.12090000000000001
Eriastrum,harwoodii,0.5740000000000001,0.10400000000000001
Eriastrum,hooveri,0.4151666666666667,0.09666666666666666
Eriastrum,luteum,0.6898571428571428,0.20742857142857143
Eriastrum,pluriflorum,1.2324166666666667,0.21208333333333335
Eriastrum,sapphirinum,1.0663333333333334,0.28983333333333333
Eriastrum,signatum,0.5813333333333334,0.122
Eriastrum,sparsiflorum,0.7564000000000001,0.1958
Eriastrum,virgatum,0.9461428571428572,0.2592857142857143
Eriastrum,wilcoxii,0.8892857142857142,0.26357142857142857
Fouquieria,burragei,1.0453333333333332,0.4666666666666667
Fouquieria,splendens,1.6766666666666667,0.5632222222222222
Gilia,achillaeafolia,1.0173333333333332,0.295
Gilia,achilleaefolia,0.46266666666666667,0.137
Gilia,achilleifolia,0.7708333333333334,0.26183333333333336
Gilia,aliquanta,1.1497777777777778,0.27666666666666667
Gilia,angelensis,0.7621666666666667,0.26408333333333334
Gilia,austrooccidentalis,0.6263333333333333,0.13666666666666666
Gilia,brecciarum,1.0332727272727273,0.289030303030303
Gilia,cana,1.8360833333333333,0.3794166666666667
Gilia,capitata,0.5958888888888889,0.1857777777777778
Gilia,clivorum,0.7526666666666667,0.201
Gilia,clokeyi,0.729,0.238
Gilia,crassifolia,0.7478888888888888,0.20744444444444446
Gilia,diegensis,1.0786666666666667,0.3015
Gilia,flavocincta,1.0346666666666666,0.18766666666666668
Gilia,inconspicua,0.7122499999999999,0.19333333333333333
Gilia,interior,0.659,0.16966666666666666
Gilia,laciniata,0.852,0.18966666666666668
Gilia,latiflora,1.8349259259259258,0.47985185185185186
Gilia,leptantha,1.5382758620689656,0.2949655172413793
Gilia,malior,0.751,0.151
Gilia,mexicana,0.6996666666666667,0.16133333333333333
Gilia,millefoliata,0.8173333333333334,0.12666666666666668
Gilia,minor,0.888,0.186
Gilia,modocensis,0.7868333333333334,0.17466666666666666
Gilia,nevinii,0.9865714285714285,0.20842857142857144
Gilia,ochroleuca,0.7597407407407407,0.23277777777777778
Gilia,ophthalmoides,1.390962962962963,0.26137037037037036
Gilia,salticola,1.1405,0.356
Gilia,scopulorum,1.3711666666666666,0.24416666666666667
Gilia,sinuata,1.0764666666666667,0.2608
Gilia,stellata,0.8365,0.24125
Gilia,tenuiflora,1.3294444444444444,0.25966666666666666
Gilia,transmontana,0.627,0.19666666666666668
Gilia,tricolor,1.0783333333333334,0.346
Gilia,tweedyi,0.557,0.18666666666666668
Gilia,valdiviensis,0.653,0.13
Giliastrum,castillanosii,1.093,0.513
Giliastrum,foetidum,1.437125,0.601375
Giliastrum,incisum,0.5482,0.2534
Giliastrum,ludens,1.0636666666666668,0.4281666666666667
Giliastrum,purpusii,1.5443333333333333,0.389
Giliastrum,rigidulum,1.2288333333333332,0.4518333333333333
Gymnosteris,nudicaulis,1.0653333333333332,0.197
Gymnosteris,parvula,0.45983333333333337,0.116
Ipomopsis,aggregata,2.9520119047619047,0.3896428571428571
Ipomopsis,arizonica,2.5093809523809525,0.3494285714285714
Ipomopsis,congesta,0.5687222222222222,0.12624074074074074
Ipomopsis,depressa,0.6372222222222222,0.15688888888888888
