Pot,Plants,Microbe_History,Microbe_mesocosm,Contemp_Water,plantlocation,Plant_Mesocosm,Plant_History,Planting_notes,Germination_date,Relative_germination_date,Germination_Notes,Flowering_Date,Relative_Flowering_Date,Leaf_number_at_flowering,height_at_flowering,flowering_notes,survival,Days_to_flower,Fruiting_notes,Fruit_number,Final_height,Thrip_damage,Flower_number,Plant_stage_at_experiment_end,Harvest_notes,Seed_number,Total_seed_mass,Mean_seed_mass,Aboveground_biomass
12,Mixed,Dry microbes,24,Dry,3,23,Dry,,17-Jan,1,,11-Feb,26,5,11,,Alive,25,,3,12.5,1,11,,,4,0.0042,1.1,0.0261
14,Mixed,Dry microbes,24,Dry,3,23,Dry,,17-Jan,1,,8-Feb,23,4,3.5,,Alive,22,,1,4.5,1,8,,,3,0.0053,1.8,0.0169
18,Mixed,Wet microbes,23,Dry,3,23,Dry,,17-Jan,1,,16-Feb,31,3,7.5,,Alive,30,,0,8.5,1,19,,,0,0,0.0,0.0337
24,Mixed,Wet microbes,11,Wet,3,23,Dry,,17-Jan,1,,10-Feb,25,4,8,,Alive,24,buds,4,15,2,62,bud,,7,0.0163,2.3,0.0784
27,Mixed,Dry microbes,24,Dry,4,23,Dry,,17-Jan,1,,5-Feb,20,4,6.5,,Alive,19,,2,7.5,1,12,,,6,0.0083,1.4,0.0249
31,Mixed,Dry microbes,24,Wet,3,23,Dry,,17-Jan,1,,8-Feb,23,4,9,,Alive,22,,5,10,1,37,,,0,0.0084,2.1,0.0482
35,Mixed,Wet microbes,11,Wet,3,23,Dry,,19-Jan,3,,8-Feb,23,2,10,,Alive,20,,1,11.5,1,6,,,9,0.0111,1.2,0.0242
38,Mixed,Wet microbes,23,Wet,4,23,Dry,,17-Jan,1,,5-Feb,20,4,9,,Alive,19,,2,8.5,1,7,,,10,0.0127,1.3,0.0233
49,Mixed,Wet microbes,1,Dry,4,23,Dry,,17-Jan,1,,15-Feb,30,4,9,,Alive,29,,1,12.5,2,29,,,1,0.0026,2.6,0.0362
53,Mixed,Dry microbes,8,Dry,4,23,Dry,,17-Jan,1,,14-Feb,29,4,10.5,,Alive,28,,0,14.5,1,50,,,0,0,0.0,0.058
59,Mixed,Dry microbes,24,Wet,3,23,Dry,,17-Jan,1,,4-Feb,19,4,12.5,,Alive,18,,2,17,2,16,,,11,0.0208,1.9,0.0547
64,Mixed,Dry microbes,24,Dry,4,23,Dry,,17-Jan,1,,,,,,,Alive,,,0,6.5,1,10,bud,,0,0,0.0,0.0271
74,Mixed,Dry microbes,19,Dry,4,23,Dry,,18-Jan,2,,7-Feb,22,4,5.5,,Alive,20,,4,11,,10,,,9,0.0124,1.4,0.0429
77,Mixed,Dry microbes,24,Wet,4,23,Dry,,17-Jan,1,,4-Feb,19,5,11,,Alive,18,,2,12.5,1,?,,,12,0.0134,1.1,0.0425
79,Mixed,Dry microbes,19,Wet,2,23,Dry,,,,,11-Feb,26,2,9,,Alive,,,0,10,1,43,,,0,0,0.0,0.0217
80,Mixed,Wet microbes,1,Dry,4,23,Dry,,17-Jan,1,,16-Feb,31,3,7,,Alive,30,,1,9,2,28,,,1,0.0032,3.2,0.0404
86,Mixed,Wet microbes,1,Wet,4,23,Dry,,17-Jan,1,,6-Feb,21,4,5.5,,Alive,20,,4,6,2,6,,,11,0.0137,1.2,0.0489
101,Mixed,Dry microbes,9,Dry,4,23,Dry,,17-Jan,1,,9-Feb,24,5,9,,Alive,23,,1,15.5,1,49,,,0,0,0.0,0.0757
107,Mixed,Dry microbes,8,Dry,3,23,Dry,,24-Jan,8,,,,,,No Plant,dead,,No Plant,,,,,,,,,,
123,Mixed,Dry microbes,24,Wet,4,23,Dry,,17-Jan,1,,13-Feb,28,5,19,,Alive,27,,7,21,2,60,,,1,0.0033,3.3,0.1217
132,Mixed,Wet microbes,11,Wet,4,23,Dry,,17-Jan,1,,6-Feb,21,3,8.5,,Alive,20,,3,10.5,4,8,,,6,0.0067,1.1,0.0387
138,Mixed,Wet microbes,21,Wet,4,23,Dry,,24-Jan,8,,,,,,No Plant,dead,,No Plant,,,,,,,,,,
144,Mixed,Wet microbes,11,Wet,4,23,Dry,,21-Jan,5,,17-Feb,32,2,5,,Alive,27,,1,5,2,8,,,0,0,0.0,0.0137
155,Mixed,Wet microbes,11,Dry,4,23,Dry,,24-Jan,8,,,,,,No Plant,dead,,No Plant,,,,,,,,,,
157,Mixed,Wet microbes,1,Wet,3,23,Dry,,18-Jan,2,,12-Feb,27,3,8,,Alive,25,,1,11,,2,,,4,0.0072,1.8,0.007
162,Mixed,Dry microbes,8,Dry,3,23,Dry,,17-Jan,1,,14-Feb,29,4,9.5,,Alive,28,,4,12,1,34,,,3,0.0062,2.1,0.0349
170,Mixed,Wet microbes,21,Wet,3,23,Dry,,18-Jan,2,,9-Feb,24,4,7.5,,Alive,22,,3,11.5,1,28,,,3,0.0074,2.5,0.0533
173,Mixed,Wet microbes,11,Dry,3,23,Dry,,17-Jan,1,,6-Feb,21,2,7.5,,Alive,20,,2,7,1,4,,,6,0.0089,1.5,0.0141
175,Mixed,Dry microbes,9,Dry,3,23,Dry,,17-Jan,1,,5-Feb,20,5,13.5,,Alive,19,,5,18.5,1,10,,,24,0.0276,1.2,0.0552
181,Mixed,Dry microbes,9,Dry,4,23,Dry,,17-Jan,1,,8-Feb,23,4,9.5,,Alive,22,,1,19.5,1,41,,,0,0,0.0,0.0605
184,Mixed,Wet microbes,21,Dry,3,23,Dry,,,,,,,,,,Alive,,,0,11,1,20,bud,,0,0,0.0,0.0316
202,Mixed,Wet microbes,21,Dry,3,23,Dry,,,,very late germination of initial seed sown.  Removed replacement,14-Feb,29,3,7,2nd plant late germination,,,2nd plant late germination,1,9.5,1,30,,,0,0,0.0,0.0271
208,Mixed,Dry microbes,19,Wet,3,23,Dry,,18-Jan,2,,6-Feb,21,2,13,,Alive,19,,1,13.5,0,16,,,1,0.0012,1.2,0.0274
221,Mixed,Dry microbes,19,Dry,4,23,Dry,,17-Jan,1,,11-Feb,26,4,11.5,,Alive,25,,3,14.5,1,14,,,12,0.0189,1.6,0.0637
236,Mixed,Dry microbes,19,Dry,3,23,Dry,,18-Jan,2,,8-Feb,23,3,6,,Alive,21,,3,8.5,0,5,,,8,0.0125,1.6,0.0361
239,Mixed,Dry microbes,9,Wet,4,23,Dry,,17-Jan,1,,4-Feb,19,5,16,,Alive,18,,5,20.5,1,14,,,4,0.0468,1.0,0.0799
9,Mixed,Wet microbes,21,Wet,1,24,Dry,,17-Jan,1,,7-Feb,22,2,9.5,,Alive,21,immature fruit,5,13.5,2,27,immature fruit,,2,0.0045,2.3,0.0545
14,Mixed,Dry microbes,24,Dry,1,24,Dry,,17-Jan,1,,14-Feb,29,3,8.5,,Alive,28,,2,12,1,16,bud,,3,0.0052,1.7,0.0303
27,Mixed,Dry microbes,24,Dry,2,24,Dry,,17-Jan,1,,9-Feb,24,4,10,,Alive,23,,0,13,1,29,,,0,0,0.0,0.0346
31,Mixed,Dry microbes,24,Wet,1,24,Dry,,17-Jan,1,,6-Feb,21,3,11.5,,Alive,20,,4,11.5,1,8,,,10,0.0115,1.2,0.0252
38,Mixed,Wet microbes,23,Wet,2,24,Dry,,17-Jan,1,,8-Feb,23,3,6.5,,Alive,22,,7,11.5,2,67,immature fruit,all fruits are immature,0,0,0.0,0.0646
46,Mixed,Dry microbes,8,Wet,1,24,Dry,,17-Jan,1,,14-Feb,29,3,8,,Alive,28,,1,9,1,4,,,0,0,0.0,0.0079
48,Mixed,Wet microbes,1,Dry,1,24,Dry,,17-Jan,1,,8-Feb,23,4,7.5,,Alive,22,,2,9,2,30,,,3,0.0061,2.0,0.0263
54,Mixed,Dry microbes,19,Dry,1,24,Dry,,17-Jan,1,,7-Feb,22,4,11,,Alive,21,,4,15,1,14,,,10,0.0102,1.0,0.0384
56,Mixed,Wet microbes,23,Wet,1,24,Dry,,17-Jan,1,,,,,,bud,,,bud,5,6.5,2,30,immature fruit,,0,0,0.0,0.0358
77,Mixed,Dry microbes,24,Wet,2,24,Dry,,,,,9-Feb,24,2,9,,Alive,,,2,9.5,0,10,,,2,0.0041,2.1,0.0216
81,Mixed,Wet microbes,11,Dry,1,24,Dry,,18-Jan,2,,8-Feb,23,3,7,,Alive,21,,1,7,1,6,,,6,0.01,1.7,0.0141
90,Mixed,Wet microbes,23,Dry,2,24,Dry,,19-Jan,3,,10-Feb,25,3,8.5,,Alive,22,,1,9.5,2,5,,,5,0.0085,1.7,0.0158
91,Mixed,Wet microbes,23,Dry,1,24,Dry,,,,,18-Feb,33,2,3,,Alive,,,0,5.5,1,10,,,0,0,0.0,0.0097
107,Mixed,Dry microbes,8,Dry,2,24,Dry,,24-Jan,8,,13-Feb,28,3,3.5,,Alive,20,,1,3.5,1,3,,,3,0.0035,1.2,0.0071
109,Mixed,Wet microbes,11,Dry,2,24,Dry,,,,,13-Feb,28,2,5,,Alive,,,1,7.5,1,20,bud,,2,0.0043,2.2,0.0174
110,Mixed,Dry microbes,8,Dry,1,24,Dry,,18-Jan,2,,10-Feb,25,4,8,,Alive,23,,2,10.5,1,16,,,3,0.0057,1.9,0.0242
118,Mixed,Dry microbes,9,Wet,1,24,Dry,,20-Jan,4,,22-Feb,37,3,7.5,,Alive,33,,2,8.5,1,47,bud,,0,0,0.0,0.0405
126,Mixed,Dry microbes,8,Wet,2,24,Dry,,,,,16-Feb,31,3,7,,Alive,,,1,6.5,1,18,,,2,0.0041,2.1,0.0132
130,Mixed,Dry microbes,9,Wet,1,24,Dry,,17-Jan,1,,4-Feb,19,4,11.5,,Alive,18,,5,13,1,14,,,11,0.0158,1.4,0.0421
134,Mixed,Dry microbes,19,Dry,2,24,Dry,,18-Jan,2,,5-Feb,20,3,4.5,,Alive,18,,2,5.5,1,13,,,5,0.0048,1.0,0.0134
144,Mixed,Wet microbes,11,Wet,2,24,Dry,,18-Jan,2,,17-Feb,32,2,3.5,,Alive,30,,2,4.5,2,17,bud,,2,0.0032,1.6,0.0233
145,Mixed,Dry microbes,9,Wet,1,24,Dry,,17-Jan,1,,6-Feb,21,4,12.5,,Alive,20,,3,14,0,13,,,20,0.0221,1.1,0.0611
157,Mixed,Wet microbes,1,Wet,1,24,Dry,,,,,,,,,,Alive,,small plant,2,10,1,34,bud,,0,0,0.0,0.0442
168,Mixed,Wet microbes,1,Dry,2,24,Dry,,17-Jan,1,,,,,,bud,,,bud,0,4.5,1,14,,,0,0,0.0,0.0169
170,Mixed,Wet microbes,21,Wet,1,24,Dry,,17-Jan,1,,17-Feb,32,4,7,,Alive,31,,5,12.5,2,56,bud,,0,0,0.0,0.0639
171,Mixed,Wet microbes,23,Wet,1,24,Dry,,17-Jan,1,,,,,,dead,dead,,dead,0,1.5,0,3,,,0,0,0.0,0.0115
173,Mixed,Wet microbes,11,Dry,2,24,Dry,,18-Jan,2,,10-Feb,25,3,6,,Alive,23,,1,7.5,,20,,,2,0.0034,1.7,0.0177
175,Mixed,Dry microbes,9,Dry,2,24,Dry,,,,,11-Feb,26,4,8.5,,Alive,,,1,8.5,1,18,,,0,0,0.0,0.028
176,Mixed,Wet microbes,1,Wet,1,24,Dry,,17-Jan,1,,9-Feb,24,3,8.5,,Alive,23,,11,16.5,1,68,bud,,8,0.0203,2.5,0.01394
181,Mixed,Dry microbes,9,Dry,1,24,Dry,,17-Jan,1,,7-Feb,22,3,11,,Alive,21,,3,17,,8,,,3,0.0081,2.7,0.0388
186,Mixed,Wet microbes,1,Dry,1,24,Dry,,17-Jan,1,,16-Feb,31,3,8,,Alive,30,,1,11.5,1,13,,,0,0,0.0,0.0225
193,Mixed,Dry microbes,24,Dry,2,24,Dry,,17-Jan,1,,6-Feb,21,5,13.5,,Alive,20,,1,8,,8,,,2,0.0056,2.8,0.0095
194,Mixed,Wet microbes,11,Wet,2,24,Dry,,17-Jan,1,,9-Feb,24,4,6.5,,Alive,23,,13,15,1,65,immature fruit,immature fruit,0,0,0.0,0.0757
208,Mixed,Dry microbes,19,Wet,2,24,Dry,,18-Jan,2,,8-Feb,23,4,8.5,,Alive,21,,2,8.5,1,17,,,5,0.0067,1.3,0.0187
232,Mixed,Wet microbes,21,Dry,1,24,Dry,,17-Jan,1,,16-Feb,31,3,6.5,,Alive,30,,2,6,1,26,,,,,,
236,Mixed,Dry microbes,19,Dry,2,24,Dry,,17-Jan,1,,3-Feb,18,4,8,,Alive,17,,3,8.5,1,22,,,0,0,0.0,0.0301
,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,
